Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,G4 Sensor Probe Ports,CLC-117,CDI Probe information via ACX,None,"1. Open CoreLive
2. Select a sensor -> Choose mode as Wifi ACX
3. Check for Probe information in Sensor page","User should able to get values for Probe ID, Probe type, Resistor value, Offset value, Date certified information for the probe connected in the tag",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-118,CDI Probe information via CCX,None,"1. Open CoreLive
2. Select a sensor -> Choose mode as Wifi CCX
3. Check for Probe information in Sensor page","User should able to get values for Probe ID, Probe type, Resistor value, Offset value, Date certified information for the probe connected in the tag",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-119,CDI Probe information via TCP,None,"1. Open CoreLive
2. Select a sensor -> Choose mode as Wifi TCP
3. Check for Probe information in Sensor page","User should able to get values for Probe ID, Probe type, Resistor value, Offset value, Date certified information for the probe connected in the tag",,,,,,,,,
,Positive,G4 Communication mode,CLC-120,Setting Wifi Channels,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Select any channels in Channel Mask",User should able to select and set any wifi channels based on requirement,,,,,,,,,
,Positive,G4 Communication mode,CLC-121,Setting Wifi Channels,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Select any channels in Channel Mask",User should able to select and set any wifi channels based on requirement,,,,,,,,,
,Negative,G4 Communication mode,CLC-122,Setting Wifi Channels,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose 900 MHz under modes
4. Try to select any channels in Channel Mask","User should not be able to select any channels, Channel Mask should be non configurable",,,,,,,,,
,Positive,G4 Communication mode,CLC-123,"Setting Wifi Profile Bitrate to 1 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 1 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 1 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-124,"Setting Wifi Profile Bitrate to 2 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 2 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 2 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-125,"Setting Wifi Profile Bitrate to 5.5 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 5.5 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 5.5 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-126,"Setting Wifi Profile Bitrate to 6 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 6 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 6 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-127,"Setting Wifi Profile Bitrate to 9 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 9 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 9 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-128,"Setting Wifi Profile Bitrate to 11 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 11 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 11 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-129,"Setting Wifi Profile Bitrate to 12 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 12 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 12 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-130,"Setting Wifi Profile Bitrate to 18 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 18 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 18 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-131,"Setting Wifi Profile Bitrate to 24 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 18 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 18 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-132,"Setting Wifi Profile Bitrate to 36 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 36 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 36 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-133,"Setting Wifi Profile Bitrate to 48 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 48 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 48 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-134,"Setting Wifi Profile Bitrate to 54 Mbps, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose 54 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 54 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-135,"Setting Wifi Profile Bitrate to 1 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 1 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 1 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-136,"Setting Wifi Profile Bitrate to 2 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 2 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 2 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-137,"Setting Wifi Profile Bitrate to 5.5 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 5.5 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 5.5 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-138,"Setting Wifi Profile Bitrate to 6 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 6 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 6 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-139,"Setting Wifi Profile Bitrate to 9 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 9 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 9 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-140,"Setting Wifi Profile Bitrate to 11 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 11 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 11 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-141,"Setting Wifi Profile Bitrate to 12 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 12 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 12 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-142,"Setting Wifi Profile Bitrate to 18 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 18 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 18 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-143,"Setting Wifi Profile Bitrate to 24 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 18 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 18 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-144,"Setting Wifi Profile Bitrate to 36 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 36 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 36 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-145,"Setting Wifi Profile Bitrate to 48 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 48 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 48 Mbps,,,,,,,,,
,Positive,G4 Communication mode,CLC-146,"Setting Wifi Profile Bitrate to 54 Mbps, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose 54 Mbps for Profile under Wi-fi settings",User should able to set Profile bitrate as 54 Mbps,,,,,,,,,
,Negative,G4 Communication mode,CLC-147,Setting wifi Profile Bitrate,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose 900 MHz under modes
4. Try to set Profile bitrate","User should not be able to set Profile bitrate, it should be non configurable",,,,,,,,,
,Positive,G4 Communication mode,CLC-148,Setting Profile Try to any value when Communication mode = Wifi CCX,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Choose any value for Try",User should able to set any value for Try,,,,,,,,,
,Positive,G4 Communication mode,CLC-149,Setting Profile Try to any value when Communication mode = Wifi ACX,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Choose any value for Try",User should able to set any value for Try,,,,,,,,,
,Negative,G4 Communication mode,CLC-150,Setting Profile Try to any value when Communication mode = 900 MHz,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose 900 MHz under modes
4. Try to choose any value for Try","User should not be able to set any value for Try, it should be non configurable",,,,,,,,,
,Positive,G4 Communication mode,CLC-151,Wifi Power level,None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose any mode under modes
4. Check power level","Wifi Power level should be static 6 dBm, which is unchangable by user",Showing 12 dBm,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-152,"Enabling Wi-fi Check-in, Communication mode = 900 MHz",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose 900 MHz under modes
4. Enable Wi-fi check-in",User should able to enable wifi check in in 900 MHz mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-153,"Disabling Wi-fi Check-in, Communication mode = 900 MHz",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose 900 MHz under modes
4. Disable Wi-fi check-in",User should able to disable wifi check in in 900 MHz mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-154,"Enabling Wi-fi Check-in, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Enable Wi-fi check-in",User should able to enable wifi check in in Wifi CCX mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-155,"Disabling Wi-fi Check-in, Communication mode = Wifi CCX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi CCX under modes
4. Disable Wi-fi check-in",User should able to disable wifi check in in Wifi CCX mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-156,"Enabling Wi-fi Check-in, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Enable Wi-fi check-in",User should able to enable wifi check in in Wifi ACX mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-157,"Disabling Wi-fi Check-in, Communication mode = Wifi ACX",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi ACX under modes
4. Disable Wi-fi check-in",User should able to disable wifi check in in Wifi ACX mode,,,,,,,,,
,Positive,G4 Sensor Wifi Checkin,CLC-158,"Enabling Wi-fi Check-in, Communication mode = Wifi TCP",None,"1.Open CoreLive
2. Select a sensor to be configured -> right click on that -> Click on Tag Profile
3. Choose Wifi TCP under modes
4. Enable Wi-fi check-in",User should able to enable wifi check in in Wifi TCP mode,,,,,,,,,
